gene_symbol	ensembl	version
NBL1	ENSG00000158747	v39
MICOS10-NBL1	ENSG00000270136	v39
ENSG00000226396	ENSG00000226396	v39
HTR6	ENSG00000158748	v39
TMCO4	ENSG00000162542	v39
RNF186	ENSG00000178828	v39
ENSG00000235434	ENSG00000235434	v39
OTUD3	ENSG00000169914	v39
PLA2G2E	ENSG00000188784	v39
RN7SL304P	ENSG00000242688	v39
PLA2G2A	ENSG00000188257	v39
PLA2G5	ENSG00000127472	v39
PLA2G2D	ENSG00000117215	v39
PLA2G2F	ENSG00000158786	v39
ENSG00000227066	ENSG00000227066	v39
PLA2G2C	ENSG00000187980	v39
UBXN10	ENSG00000162543	v39
LINC01757	ENSG00000228105	v39
ENSG00000284710	ENSG00000284710	v39
VWA5B1	ENSG00000158816	v39
ENSG00000226664	ENSG00000226664	v39
LINC01141	ENSG00000236963	v39
ENSG00000226487	ENSG00000226487	v39
ENSG00000284641	ENSG00000284641	v39
ENSG00000284743	ENSG00000284743	v39
CAMK2N1	ENSG00000162545	v39
ENSG00000289402	ENSG00000289402	v39
MUL1	ENSG00000090432	v39
RPS4XP4	ENSG00000215520	v39
FAM43B	ENSG00000183114	v39
CDA	ENSG00000158825	v39
PINK1	ENSG00000158828	v39
MIR6084	ENSG00000284005	v39
PINK1-AS	ENSG00000117242	v39
DDOST	ENSG00000244038	v39
KIF17	ENSG00000117245	v39
ENSG00000235432	ENSG00000235432	v39
SH2D5	ENSG00000189410	v39
ENSG00000233069	ENSG00000233069	v39
HP1BP3	ENSG00000127483	v39
EIF4G3	ENSG00000075151	v39
RNU7-200P	ENSG00000251914	v39
MIR1256	ENSG00000221808	v39
RPS15AP6	ENSG00000233072	v39
ENSG00000236073	ENSG00000236073	v39
HSPE1P27	ENSG00000235112	v39
ENSG00000287192	ENSG00000287192	v39
ECE1	ENSG00000117298	v39
ENSG00000236936	ENSG00000236936	v39
ECE1-AS1	ENSG00000231105	v39
PPP1R11P1	ENSG00000236216	v39
PDE4DIPP10	ENSG00000228823	v39
ENSG00000236009	ENSG00000236009	v39
NBPF2P	ENSG00000227001	v39
HS6ST1P1	ENSG00000187952	v39
CROCCP5	ENSG00000186543	v39
NBPF3	ENSG00000142794	v39
PFN1P10	ENSG00000176378	v39
ALPL	ENSG00000162551	v39
LINC02596	ENSG00000233431	v39
RAP1GAP	ENSG00000076864	v39
USP48	ENSG00000090686	v39
ENSG00000231978	ENSG00000231978	v39
LDLRAD2	ENSG00000187942	v39
HSPG2	ENSG00000142798	v39
ENSG00000232037	ENSG00000232037	v39
ENSG00000283234	ENSG00000283234	v39
